iter	Passed	Remaining
0	32	32074
1	59	29596
2	83	27895
3	104	26144
4	122	24295
5	139	23079
6	155	22095
7	175	21762
8	194	21375
9	214	21260
10	235	21208
11	255	21000
12	275	20938
13	300	21139
14	323	21222
15	344	21170
16	363	21036
17	383	20926
18	404	20870
19	423	20739
20	441	20592
21	461	20522
22	482	20489
23	507	20627
24	529	20642
25	549	20568
26	568	20492
27	589	20468
28	610	20443
29	634	20504
30	655	20500
31	680	20587
32	704	20646
33	732	20813
34	759	20930
35	781	20926
36	803	20911
37	825	20899
38	850	20960
39	871	20918
40	892	20880
41	917	20935
42	944	21009
43	965	20982
44	985	20911
45	1004	20840
46	1024	20769
47	1044	20719
48	1064	20668
49	1084	20602
50	1105	20566
51	1131	20625
52	1159	20723
53	1181	20691
54	1202	20665
55	1222	20606
56	1242	20554
57	1262	20511
58	1285	20495
59	1305	20459
60	1326	20419
61	1351	20447
62	1374	20438
63	1395	20402
64	1414	20353
65	1434	20303
66	1453	20236
67	1470	20160
68	1490	20116
69	1510	20067
70	1533	20062
71	1557	20077
72	1579	20054
73	1600	20026
74	1618	19965
75	1637	19911
76	1657	19866
77	1676	19822
78	1696	19776
79	1715	19730
80	1737	19717
81	1760	19711
82	1782	19690
83	1804	19672
84	1824	19636
85	1842	19584
86	1860	19527
87	1879	19482
88	1898	19434
89	1917	19384
90	1937	19351
91	1961	19363
92	1985	19361
93	2004	19320
94	2022	19267
95	2041	19228
96	2060	19185
97	2079	19141
98	2098	19094
99	2121	19089
100	2142	19068
101	2167	19085
102	2192	19096
103	2215	19084
104	2236	19062
105	2255	19024
106	2275	18988
107	2293	18942
108	2315	18927
109	2334	18884
110	2352	18843
111	2374	18829
112	2397	18816
113	2419	18802
114	2441	18789
115	2462	18768
116	2481	18729
117	2499	18683
118	2517	18636
119	2536	18599
120	2554	18557
121	2576	18541
122	2598	18524
123	2620	18512
124	2639	18479
125	2659	18451
126	2678	18413
127	2697	18375
128	2716	18343
129	2734	18301
130	2756	18283
131	2779	18278
132	2803	18276
133	2823	18249
134	2842	18213
135	2859	18167
136	2877	18129
137	2895	18089
138	2913	18046
139	2929	17995
140	2950	17975
141	2970	17947
142	2996	17958
143	3020	17954
144	3039	17920
145	3058	17892
146	3077	17855
147	3099	17841
148	3118	17811
149	3138	17784
150	3157	17755
151	3177	17724
152	3202	17731
153	3224	17715
154	3244	17688
155	3264	17661
156	3283	17630
157	3302	17601
158	3320	17562
159	3338	17525
160	3356	17490
161	3376	17464
162	3396	17439
163	3418	17427
164	3442	17422
165	3462	17397
166	3481	17366
167	3499	17331
168	3517	17294
169	3535	17262
170	3554	17232
171	3572	17196
172	3590	17165
173	3608	17129
174	3629	17112
175	3650	17090
176	3673	17082
177	3695	17067
178	3716	17045
179	3734	17011
180	3752	16980
181	3771	16948
182	3789	16920
183	3806	16881
184	3828	16865
185	3852	16859
186	3872	16834
